REF_AREA;Coğrafi Kapsam (TR);FREQ;Gözlem Sıklığı (A);INDICATOR;İstatistiksel Gösterge (NG_ADNKS);ADNKS_GOSTERGE;ADNKS Gösterge (NUFUS);Zaman (TIME_PERIOD);Gözlem;OBS_STATUS;Gözlem Durumu;TIME_FORMAT;Zaman Formatı;DECIMAL;Ondalık Basamak Sayısı;UNIT_MEASURE;Ölçü Birimi;UNIT_MULT;Birim Çarpanı
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_YOG;Nüfus yoğunluğu;2014;101,0417457;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_YOG;Nüfus yoğunluğu;2013;99,7048031520821;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_YOG;Nüfus yoğunluğu;2012;98,35168272;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_YOG;Nüfus yoğunluğu;2011;97,17720232;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_YOG;Nüfus yoğunluğu;2010;95,87505929;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_YOG;Nüfus yoğunluğu;2009;94,3643262243071;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_YOG;Nüfus yoğunluğu;2008;93,00635241;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_YOG;Nüfus yoğunluğu;2007;91,7958110809305;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2025;4,97475622534955;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2024;3,42109293617031;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2023;1,087875293;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2022;7,05204868335876;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2021;12,66737057;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2020;5,50899954918808;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2019;13,93971244;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2018;14,6593706621404;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2017;12,39737647;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2016;13,5451819246686;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2015;13,3621181415468;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2014;13,31990289;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2013;13,664197703362;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2012;12,0135142348909;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2011;13,490261864228;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2010;15,8827764908963;;;;;;;;;;
